station,coordinaten,provincie,directe verbindingen,aantal inwoners
Nieuw Amsterdam,"52.7145° N, 6.8632° E",Drenthe,"Coevorden,Emmen Zuid,Dalen",
Emmen Zuid,"52.7488° N, 6.8742° E",Drenthe,"Nieuw Amsterdam,Emmen",
Emmen,"52.7862° N, 6.8917° E",Drenthe,Emmen Zuid,
Meppel,"52.6921° N, 6.1937° E",Drenthe,"Zwolle,Steenwijk,Hoogeveen",
Hoogeveen,"52.7286° N, 6.4901° E",Drenthe,"Beilen,Meppel",
Beilen,"52.8599° N, 6.5146° E",Drenthe,"Assen,Hoogeveen",
Assen,"52.9928° N, 6.5642° E",Drenthe,"Beilen,Zwolle,Haren",
Haren,"53.1718° N, 6.6052° E",Groningen,"Assen,Groningen Europapark",
Steenwijk,"52.7869° N, 6.1181° E",Overijssel,"Zwolle,Wolvega,Meppel,Heerenveen",
Wolvega,"52.8766° N, 5.9959° E",Friesland,"Heerenveen,Steenwijk",
Heerenveen,"52.9606° N, 5.9205° E",Friesland,"Wolvega,Leeuwarden,Steenwijk,Akkrum",
Akkrum,"53.0494° N, 5.8341° E",Friesland,"Grou-Jirnsum,Heerenveen",
Grou-Jirnsum,"53.0903° N, 5.8224° E",Friesland,"Akkrum,Leeuwarden",
Veendam,"53.1063° N, 6.8751° E",Groningen,Zuidbroek,
Bad Nieuweschans,"53.1830° N, 7.2056° E",Groningen,"Winschoten,Weener",
Winschoten,"53.1425° N, 7.0368° E",Groningen,"Scheemda,Bad Nieuweschans",
Scheemda,"53.1764° N, 6.9724° E",Groningen,"Groningen Europapark,Winschoten,Zuidbroek",
Zuidbroek,"53.1704° N, 6.8622° E",Groningen,"Scheemda,Hoogezand-Sappemeer,Veendam",
Hoogezand-Sappemeer,"53.1638° N, 6.7559° E",Groningen,"Zuidbroek,Martenshoek",
Martenshoek,"53.1633° N, 6.7312° E",Groningen,"Hoogezand-Sappemeer,Kropswolde",
Kropswolde,"53°08'39""N 6°42'47""E",Groningen,"Groningen Europapark,Martenshoek",
Groningen,"53.2194° N, 6.5665° E",Groningen,"Groningen Europapark,Buitenpost,Groningen Noord,Assen,Zuidhorn",
Groningen Europapark,"53.2090° N, 6.5875° E",Groningen,"Haren,Groningen,Kropswolde",
Groningen Noord,"53.2301° N, 6.5563° E",Groningen,"Groningen,Sauwerd",
Sauwerd,"53.2943° N, 6.5328° E",Groningen,"Groningen Noord,Bedum,Winsum",
Delfzijl,"53.3310° N, 6.9245° E",Groningen,Delfzijl West,
Delfzijl West,"53.3320° N, 6.9065° E",Groningen,"Delfzijl,Appingedam",
Appingedam,"53.3220° N, 6.8560° E",Groningen,"Delfzijl West,Loppersum",
Loppersum,"53.3322° N, 6.7480° E",Groningen,"Appingedam,Stedum",
Stedum,"53.3223° N, 6.6933° E",Groningen,"Loppersum,Bedum",
Bedum,"53.3017° N, 6.5998° E",Groningen,"Sauwerd,Stedum",
Winsum,"53.3296° N, 6.5252° E",Groningen,"Sauwerd,Baflo",
Baflo,"53.3626° N, 6.5143° E",Groningen,"Warffum,Winsum",
Warffum,"53.3934° N, 6.5593° E",Groningen,"Baflo,Usquert",
Usquert,"53.4034° N, 6.6120° E",Groningen,"Uithuizen,Warffum",
Uithuizen,"53.4062° N, 6.6628° E",Groningen,"Uithuizenmeeden,Usquert",
Uithuizenmeeden,"53.4144° N, 6.7256° E",Groningen,"Uithuizen,Roodeschool",
Roodeschool,"53.4202° N, 6.7642° E",Groningen,Uithuizenmeeden,
Eemshaven,"53.4386° N, 6.8355° E",Groningen,Roodeschool,
Zuidhorn,"53.2431° N, 6.4081° E",Groningen,"Groningen,Grijpskerk,Feanwâlden",
Grijpskerk,"53.2636° N, 6.3064° E",Groningen,"Zuidhorn,Buitenpost",
Buitenpost,"53.2525° N, 6.1504° E",Friesland,"Grijpskerk,De Westereen,Feanwâlden,Groningen",
De Westereen,"53.2545° N, 6.0307° E",Friesland,"Feanwâlden,Buitenpost",
Feanwâlden,"53.2385° N, 5.9915° E",Friesland,"Zuidhorn,Hurdegaryp,De Westereen,Leeuwarden,Buitenpost",
Leeuwarden,"53.1965° N, 5.7930° E",Friesland,"Grou-Jirnsum,Sneek Noord,Feanwâlden,Heerenveen,Leeuwarden Camminghaburen,Mantgum,Deinum",
Hurdegaryp,"53.2149° N, 5.9410° E",Friesland,"Feanwâlden,Leeuwarden Camminghaburen",
Leeuwarden Camminghaburen,"53.2120° N, 5.8431° E",Friesland,"Hurdegaryp,Leeuwarden",
Deinum,"53.1918° N, 5.7250° E",Friesland,"Dronryp,Leeuwarden",
Dronryp,"53.1966° N, 5.6449° E",Friesland,"Franeker,Deinum",
Franeker,"53.1888° N, 5.5565° E",Friesland,"Dronryp,Harlingen",
Harlingen,"53.1746° N, 5.4252° E",Friesland,"Harlingen Haven,Leeuwarden,Franeker",
Harlingen Haven,"53.1744° N, 5.4114° E",Friesland,Harlingen,
Mantgum,"53.1291° N, 5.7206° E",Friesland,"Leeuwarden,Sneek Noord",
Sneek Noord,"53.0401° N, 5.6629° E",Friesland,"Mantgum,Sneek",
Sneek,"53.0337° N, 5.6556° E",Friesland,"Sneek Noord,IJlst",
IJlst,"53.0114° N, 5.6206° E",Friesland,"Sneek,Workum",
Workum,"52.9803° N, 5.4496° E",Friesland,"Hindeloopen,IJlst",
Hindeloopen,"52.9427° N, 5.4013° E",Friesland,"Koudum-Molkwerum,Workum",
Koudum-Molkwerum,"52°54'09""N 5°24'38""E",Friesland,"Stavoren,Hindeloopen",
Stavoren,"52.8829° N, 5.3607° E",Friesland,Koudum-Molkwerum,
Alphen aan den Rijn,"52.1247° N, 4.6576° E",Zuid-Holland,"Woerden,Boskoop,Leiden Lammenschans",
Boskoop,"52.0743° N, 4.6585° E",Zuid-Holland,"Alphen aan den Rijn,Boskoop Snijdelwijk",
Boskoop Snijdelwijk,"52.0673° N, 4.6437° E",Zuid-Holland,"Boskoop,Waddinxveen Noord",
Waddinxveen Noord,"52.0552° N, 4.6484° E",Zuid-Holland,"Boskoop Snijdelwijk,Waddinxveen",
Waddinxveen,"52.0313° N, 4.6591° E",Zuid-Holland,"Waddinxveen Noord,Waddinxveen Triangel",
Waddinxveen Triangel,"52.0271° N, 4.6490° E",Zuid-Holland,"Waddinxveen,Gouda",
Bodegraven,"52.0823° N, 4.7461° E",Zuid-Holland,"Alphen aan den Rijn,Woerden",
Lansingerland-Zoetermeer,"52°02'28""N 4°31'08""E",Zuid-Holland,"Gouda,Zoetermeer Oost",
Zoetermeer Oost,"52.0464° N, 4.4926° E",Zuid-Holland,"Zoetermeer,Gouda",
Zoetermeer,"52.0607° N, 4.4940° E",Zuid-Holland,"Den Haag Ypenburg,Gouda",
Den Haag Ypenburg,"52.0428° N, 4.3641° E",Zuid-Holland,"Voorburg,Zoetermeer",
Voorburg,"52.0762° N, 4.3625° E",Zuid-Holland,"Den Haag Centraal,Zoetermeer",
De Vink,"52.1470° N, 4.4554° E",Zuid-Holland,"Leiden Centraal,Voorschoten",
Voorschoten,"52°07'31""N 4°26'08""E",Zuid-Holland,"Den Haag Mariahoeve,De Vink",
Den Haag Mariahoeve,"52.0904° N, 4.3692° E",Zuid-Holland,"Voorschoten,Den Haag Laan van NOI",
Den Haag Laan van NOI,"52.0793° N, 4.3430° E",Zuid-Holland,"Den Haag Centraal,Leiden Centraal,Den Haag HS,Den Haag Mariahoeve",
Den Haag Centraal,"52.0812° N, 4.3242° E",Zuid-Holland,"Gouda,Zoetermeer,Leiden Centraal,Den Haag Laan van NOI,Den Haag HS",
Den Haag Moerwijk,"52.0478° N, 4.2893° E",Zuid-Holland,"Den Haag HS,Rijswijk",
Den Haag HS,"52.0701° N, 4.3223° E",Zuid-Holland,"Den Haag Centraal,Delft,Den Haag Moerwijk,Leiden Centraal",
Rijswijk,"52.0377° N, 4.3220° E",Zuid-Holland,"Delft,Den Haag Moerwijk",
Delft,"52.0116° N, 4.3571° E",Zuid-Holland,"Delft Campus,Rijswijk,Schiedam Centrum,Den Haag HS,Rotterdam Centraal",
Delft Campus,"51.9910° N, 4.3649° E",Zuid-Holland,"Schiedam Centrum,Delft",
Schiedam Centrum,"51.9220° N, 4.4097° E",Zuid-Holland,"Delft Campus,Delft,Rotterdam Centraal",
Rotterdam Centraal,"51°55'26""N 4°28'14""E",Zuid-Holland,"Schiedam Centrum,Breda,Rotterdam Blaak,Delft,Rotterdam Alexander,Schiphol Airport,Gouda,Antwerpen-Centraal",
Rotterdam Blaak,"51.9201° N, 4.4890° E",Zuid-Holland,"Rotterdam Centraal,Dordrecht,Rotterdam Zuid",
Rotterdam Zuid,"51.9244° N, 4.4777° E",Zuid-Holland,"Rotterdam Blaak,Rotterdam Lombardijen",
Rotterdam Lombardijen,"51.8806° N, 4.5314° E",Zuid-Holland,"Barendrecht,Rotterdam Zuid",
Barendrecht,"51.8515° N, 4.5486° E",Zuid-Holland,"Zwijndrecht,Rotterdam Lombardijen",
Zwijndrecht,"51.8106° N, 4.6273° E",Zuid-Holland,"Barendrecht,Dordrecht",
Dordrecht,"51.8133° N, 4.6901° E",Zuid-Holland,"Dordrecht Zuid,Rotterdam Centraal,Lage Zwaluwe,Dordrecht Stadspolders,Roosendaal,Zwijndrecht,Dordrecht Zuid",
Gouda,"52.0115° N, 4.7105° E",Zuid-Holland,"Utrecht Centraal,Den Haag Centraal,Lansingerland-Zoetermeer,Waddinxveen Triangel,Rotterdam Alexander,Nieuwekerk aan den IJsel,Woerden",
Woerden,"52.0798° N, 4.8627° E",Zuid-Holland,"Utrecht Centraal,Gouda Goverwelle,Breukelen,Bodegraven",
Gouda Goverwelle,"52.0081° N, 4.7465° E",Zuid-Holland,"Gouda,Woerden",
Nieuwekerk aan den IJsel,"51.9655° N, 4.6170° E",Zuid-Holland,"Gouda,Capelle Schollevaar",
Capelle Schollevaar,"51.9501° N, 4.5732° E",Zuid-Holland,"Gouda,Rotterdam Alexander",
Rotterdam Alexander,"51.9521° N, 4.5516° E",Zuid-Holland,"Gouda,Rotterdam Centraal,Rotterdam Noord",
Rotterdam Noord,"51.9313° N, 4.4622° E",Zuid-Holland,"Rotterdam Centraal,Gouda",
Dordrecht Stadspolders,"51.8026° N, 4.7211° E",Zuid-Holland,"Dordrecht,Sliedrecht Baanhoek",
Sliedrecht Baanhoek,"51.8293° N, 4.7429° E",Zuid-Holland,"Dordrecht Stadspolders,Sliedrecht",
Sliedrecht,"51.8249° N, 4.7732° E",Zuid-Holland,"Sliedrecht Baanhoek,Hardinxveld Blauwe Zoom",
Hardinxveld Blauwe Zoom,"51°49'37""N 4°48'41""E",Zuid-Holland,"Sliedrecht,Boven-Hardinxveld",
Boven-Hardinxveld,"51.8236° N, 4.8829° E",Zuid-Holland,"Hardinxveld Blauwe Zoom,Gorinchem",
Gorinchem,"51.8372° N, 4.9758° E",Zuid-Holland,"Boven-Hardinxveld,Arkel",
Arkel,"51.8657° N, 4.9975° E",Zuid-Holland,"Leerdam,Gorinchem",
Leerdam,"51.8943° N, 5.0969° E",Utrecht,"Arkel,Beesd",
Beesd,"51.8875° N, 5.1940° E",Gelderland,"Leerdam,Geldermalsen",
Culemborg,"51.9561° N, 5.2400° E",Gelderland,"Houten,Geldermalsen",
Geldermalsen,"51.8820° N, 5.2911° E",Gelderland,"Houten,Beesd,Zaltbommel,Tiel Passewaaij",
Dordrecht Zuid,"51.7904° N, 4.6720° E",Zuid-Holland,"Dordrecht,Lage Zwaluwe",
Lage Zwaluwe,"51.7103° N, 4.7043° E",Noord-Brabant,"Breda,Dordrecht Zuid,Zevenbergen,Breda-Prinsenbeek",
Breda,"51.5957° N, 4.7795° E",,"Rotterdam Centraal,Breda-Prinsenbeek,Tilburg,Noorderkempen,Etten-Leur,Gilze-Rijen",
Breda-Prinsenbeek,"51.6056° N, 4.7217° E",Noord-Brabant,"Lage Zwaluwe,Breda",
Gilze-Rijen,"51.5599° N, 4.9093° E",Noord-Brabant,"Breda,Tilburg Reeshof",
Tilburg Reeshof,"51.5788° N, 4.9933° E",Noord-Brabant,"Gilze-Rijen,Tilburg Universiteit",
Tilburg,"51.5606° N, 5.0919° E",Noord-Brabant,"’s-Hertogenbosch,Tilburg Universiteit,Eindhoven Centraal,Breda,Oisterwijk",
’s-Hertogenbosch,"51.6978° N, 5.3037° E",Noord-Brabant,"Tilburg,Utrecht Centraal,Oss,Geldermalsen,’s-Hertogenbosch Oost,Eindhoven Centraal,Vught",
Zaltbommel,"51.8136° N, 5.2508° E",Gelderland,"’s-Hertogenbosch,Geldermalsen",
Vught,"51.6533° N, 5.2943° E",Noord-Brabant,"’s-Hertogenbosch,Boxtel",
Tilburg Universiteit,"51.5631° N, 5.0437° E",Noord-Brabant,"Tilburg Reeshof,Tilburg",
Zevenbergen,"51.6461° N, 4.6075° E",Noord-Brabant,"Lage Zwaluwe,Oudenbosch",
Oudenbosch,"51.5833° N, 4.5276° E",Noord-Brabant,"Roosendaal,Zevenbergen,Lage Zwaluwe",
Bergen op Zoom,"51.4946° N, 4.2872° E",Noord-Brabant,"Rilland-Bath,Goes,Roosendaal",
Roosendaal,"51.5358° N, 4.4653° E",Noord-Brabant,"Etten-Leur,Dordrecht,Bergen op Zoom,Oudenbosch,Essen,Lage Zwaluwe",
Rilland-Bath,"51.4227° N, 4.1605° E",Zeeland,"Krabbendijke,Roosendaal",
Krabbendijke,"51.4308° N, 4.1121° E",Zeeland,"Roosendaal,Kruiningen-Yerseke",
Kruiningen-Yerseke,"51.4654° N, 4.0363° E",Zeeland,"Roosendaal,Kapelle-Biezelinge",
Kapelle-Biezelinge,"51.4848° N, 3.9596° E",Zeeland,"Goes,Roosendaal",
Goes,"51.5046° N, 3.8911° E",Zeeland,"Middelburg,Roosendaal,Arnemuiden",
Arnemuiden,"51°28'54""N 3°44'01""E",Zeeland,"Middelburg,Roosendaal",
Middelburg,"51.4988° N, 3.6110° E",Zeeland,"Roosendaal,Vlissingen Souburg,Vlissingen",
Vlissingen Souburg,"51.4680° N, 3.6056° E",Zeeland,"Roosendaal,Vlissingen",
Vlissingen,"51.4537° N, 3.5709° E",Zeeland,"Roosendaal,Vlissingen Souburg",
Etten-Leur,"51.5869° N, 4.6671° E",Noord-Brabant,"Breda,Roosendaal",
Oisterwijk,"51.5806° N, 5.1947° E",Noord-Brabant,"Boxtel,Tilburg",
Boxtel,"51.6014° N, 5.3122° E",Noord-Brabant,"Oisterwijk,Best,Vught",
Best,"51.5078° N, 5.3978° E",Noord-Brabant,"Eindhoven Strijp-S,Boxtel",
Eindhoven Strijp-S,"51.4466° N, 5.4575° E",Noord-Brabant,"Best,Eindhoven Centraal",
Eindhoven Centraal,"51.4431° N, 5.4805° E",Noord-Brabant,"Weert,Tilburg,’s-Hertogenbosch,Geldrop,Eindhoven Strijp-S,Helmond,Helmond Brandevoort",
’s-Hertogenbosch Oost,"51.7006° N, 5.3191° E",Noord-Brabant,"’s-Hertogenbosch,Rosmalen",
Rosmalen,"51.7171° N, 5.3608° E",Noord-Brabant,"’s-Hertogenbosch,Oss West",
Oss West,"51.7584° N, 5.5067° E",Noord-Brabant,"’s-Hertogenbosch,Oss",
Oss,"51.7612° N, 5.5140° E",Noord-Brabant,"Ravenstein,’s-Hertogenbosch,Nijmegen",
Ravenstein,"51.7968° N, 5.6515° E",Noord-Brabant,"Wijchen,Oss",
Tiel,"51.8876° N, 5.4279° E",Gelderland,"Geldermalsen,Kesteren",
Tiel Passewaaij,"51.8719° N, 5.4015° E",Gelderland,"Geldermalsen,Tiel",
Kesteren,"51°56'03""N 5°34'00""E",Gelderland,"Opheusden,Tiel",
Opheusden,"51.9330° N, 5.6297° E",Gelderland,"Hemmen-Dodewaard,Kesteren",
Hemmen-Dodewaard,"51°55'20""N 5°40'25""E",Gelderland,"Opheusden,Zetten-Andelst",
Zetten-Andelst,"51.9075° N, 5.7288° E",Gelderland,"Hemmen-Dodewaard,Elst",
Elst,"51.9193° N, 5.8474° E",Gelderland,"Nijmegen,Arnhem Zuid,Zetten-Andelst,Nijmegen Lent",
Nijmegen Lent,"51.8621° N, 5.8672° E",Gelderland,"Elst,Nijmegen",
Nijmegen,"51.8432° N, 5.8530° E",Gelderland,"Nijmegen Goffert,Nijmegen Lent,Nijmegen Heyendaal,Oss,Arnhem Centraal",
Nijmegen Goffert,"51.8218° N, 5.8280° E",Gelderland,"Nijmegen Dukenburg,Nijmegen,Oss",
Nijmegen Dukenburg,"51.8106° N, 5.8044° E",Gelderland,"Nijmegen Goffert,Wijchen,Oss",
Wijchen,"51.8137° N, 5.7529° E",Gelderland,"Nijmegen Dukenburg,Oss",
Nijmegen Heyendaal,"51.8254° N, 5.8620° E",Gelderland,"Mook Molenhoek,Nijmegen",
Mook Molenhoek,"51.7650° N, 5.8700° E",Limburg,"Nijmegen Heyendaal,Cuijk",
Cuijk,"51.7289° N, 5.8792° E",Noord-Brabant,"Boxmeer,Mook Molenhoek",
Boxmeer,"51.6453° N, 5.9567° E",Noord-Brabant,"Vierlingsbeek,Cuijk",
Vierlingsbeek,"51°35'29""N 5°59'49""E",Noord-Brabant,"Venray,Boxmeer",
Venray,"51.5256° N, 5.9737° E",Limburg,"Vierlingsbeek,Blerick",
Helmond Brandevoort,"51.4618° N, 5.6255° E",Noord-Brabant,"Helmond ’t Hout,Eindhoven Centraal",
Helmond ’t Hout,"51.4680° N, 5.6310° E",Noord-Brabant,"Helmond,Helmond Brandevoort",
Helmond,"51.4793° N, 5.6570° E",Noord-Brabant,"Helmond ’t Hout,Helmond Brouwhuis,Deurne,Eindhoven Centraal",
Helmond Brouwhuis,"51°28'14""N 5°42'05""E",Noord-Brabant,"Deurne,Helmond",
Deurne,"51.4642° N, 5.7951° E",Noord-Brabant,"Helmond,Horst-Sevenum,Helmond Brouwhuis",
Horst-Sevenum,"51.4271° N, 6.0413° E",Limburg,"Helmond,Blerick",
Blerick,"51.3690° N, 6.1484° E",Limburg,"Venlo,Venray,Helmond",
Venlo,"51.3704° N, 6.1724° E",Limburg,"Blerick,Helmond,Tegelen,Breyell",
Geldrop,"51.4229° N, 5.5571° E",Noord-Brabant,"Heeze,Eindhoven Centraal",
Heeze,"51.3810° N, 5.5758° E",Noord-Brabant,"Maarheeze,Geldrop",
Maarheeze,"51°17'29""N 5°39'40""E",Noord-Brabant,"Heeze,Weert",
Weert,"51.2439° N, 5.7142° E",Limburg,"Eindhoven Centraal,Maarheeze,Roermond",
Echt,"51.1035° N, 5.8746° E",Limburg,"Susteren,Roermond",
Susteren,"51.0641° N, 5.8527° E",Limburg,"Echt,Sittard",
Roermond,"51.1913° N, 5.9878° E",Limburg,"Sittard,Weert,Swalmen,Echt",
Sittard,"51.0006° N, 5.8865° E",Limburg,"Maastricht,Heerlen,Geleen-Lutterade,Susteren,Geleen Oost,Roermond",
Swalmen,"51.2295° N, 6.0467° E",Limburg,"Reuver,Roermond",
Reuver,"51.2887° N, 6.0818° E",Limburg,"Tegelen,Swalmen",
Tegelen,"51.3437° N, 6.1374° E",Limburg,"Reuver,Venlo",
Geleen-Lutterade,"50.9741° N, 5.8280° E",Limburg,"Beek-Elsloo,Sittard",
Beek-Elsloo,"50.9469° N, 5.7860° E",Limburg,"Bunde,Geleen-Lutterade",
Bunde,"50.8950° N, 5.7330° E",Limburg,"Maastricht,Beek-Elsloo",
Maastricht,"50.8497° N, 5.7054° E",Limburg,"Sittard,Bunde,Maastricht Noord,Maastricht Randwyck,Meerssen,Sittard",
Eijsden,"50.7773° N, 5.7078° E",Limburg,"Maastricht Randwyck,Visé",
Maastricht Randwyck,"50.8296° N, 5.7154° E",Limburg,"Meerssen,Maastricht",
Maastricht Noord,"50.8706° N, 5.7175° E",Limburg,"Meerssen,Maastricht",
Meerssen,"50.8973° N, 5.7437° E",Limburg,"Maastricht,Maastricht Noord,Houthem-St. Gerlach,Valkenburg",
Houthem-St. Gerlach,"50°52'24""N 5°47'47""E",Limburg,"Meerssen,Valkenburg",
Valkenburg,"50.8652° N, 5.8321° E",Limburg,"Heerlen,Houthem-St. Gerlach,Meerssen,Schin op Geul",
Schin op Geul,"50.8548° N, 5.8717° E",Limburg,"Valkenburg,Klimmen-Ransdaal",
Klimmen-Ransdaal,"50.8665° N, 5.8904° E",Limburg,"Schin op Geul,Voerendaal",
Voerendaal,"50.8792° N, 5.9312° E",Limburg,"Heerlen Woonboulevard,Klimmen-Ransdaal",
Heerlen Woonboulevard,"50.8969° N, 5.9495° E",Limburg,"Heerlen,Voerendaal",
Heerlen,"50.8860° N, 5.9804° E",Limburg,"Valkenburg,Landgraaf,Heerlen Woonboulevard,Hoensbroek",
Eygelshoven,"50.8933° N, 6.0580° E",Limburg,"Landgraaf,Chevremont",
Chevremont,"50.8738° N, 6.0674° E",Limburg,"Landgraaf,Kerkrade Centrum",
Kerkrade Centrum,"50.8612° N, 6.0572° E",Limburg,"Landgraaf,Kerkrade Centrum",
Eygelshoven Markt,"50.8961° N, 6.0577° E",Limburg,"Herzogenrath,Landgraaf",
Landgraaf,"50.9068° N, 6.0255° E",Limburg,"Heerlen,Eygelshoven,Eygelshoven Markt",
Hoensbroek,"50.9201° N, 5.9245° E",Limburg,"Nuth,Heerlen",
Nuth,"50.9183° N, 5.8854° E",Limburg,"Schinnen,Hoensbroek",
Schinnen,"50.9436° N, 5.8794° E",Limburg,"Nuth,Spaubeek",
Spaubeek,"50°56'09""N 5°50'19""E",Limburg,"Schinnen,Geleen Oost",
Geleen Oost,"50.9671° N, 5.8432° E",Limburg,"Spaubeek,Sittard",
Herzogenrath,"50.8709° N, 6.0947° E",,,
Visé,"50.7378° N, 5.6923° E",,,
Antwerpen-Centraal,"51.2169° N, 4.4212° E",,,
Essen,"51.4627° N, 4.4516° E",,,
Emmerich-Elten,"51.8741° N, 6.1542° E",,,
Gronau,"52.2151° N, 7.0219° E",,,
Bad Bentheim,"52.3097° N, 7.1581° E",,,
Weener,"53.1640° N, 7.3429° E",,,
Breyell,"51.2942° N, 6.2417° E",,,
Noorderkempen,"51°21'25""N 4°37'57""E",,,
Mönchengladbach Hbf,"51.1995° N, 6.4731° E",,,
